match,teamInnings,bowlerName,overs,maidens,runs,wickets,noBalls,wides,economy
OMAN vs SCOTLAND,OMAN,Kaleemullah,2,0,17,0,0,0,8.50
OMAN vs SCOTLAND,OMAN,Aqib Ilyas (c),3,0,41,1,0,0,13.70
OMAN vs SCOTLAND,OMAN,Mehran Khan,1,0,16,1,0,5,16.00
OMAN vs SCOTLAND,OMAN,Zeeshan Maqsood,2,0,22,0,0,0,11.00
OMAN vs SCOTLAND,OMAN,Ayaan Khan,1,0,20,0,0,0,20.00
SOUTH AFRICA vs BANGLADESH,BANGLADESH,Tanzim Hasan Sakib,4,0,18,3,0,3,4.50
SOUTH AFRICA vs BANGLADESH,BANGLADESH,Taskin Ahmed,4,0,19,2,0,0,4.80
SOUTH AFRICA vs BANGLADESH,BANGLADESH,Mustafizur,4,0,18,0,0,1,4.50
SOUTH AFRICA vs BANGLADESH,BANGLADESH,Rishad Hossain,4,0,32,1,0,0,8.00
SOUTH AFRICA vs BANGLADESH,BANGLADESH,Shakib,1,0,6,0,0,0,6.00
SOUTH AFRICA vs BANGLADESH,BANGLADESH,Mahmudullah,3,0,17,0,0,0,5.70
SOUTH AFRICA vs BANGLADESH,SOUTH AFRICA,Marco Jansen,4,0,17,0,0,2,4.20
SOUTH AFRICA vs BANGLADESH,SOUTH AFRICA,Kagiso Rabada,4,0,19,2,0,0,4.80
SOUTH AFRICA vs BANGLADESH,SOUTH AFRICA,Ottneil Baartman,4,0,27,0,0,0,6.80
SOUTH AFRICA vs BANGLADESH,SOUTH AFRICA,Keshav Maharaj,4,0,27,3,0,2,6.80
SOUTH AFRICA vs BANGLADESH,SOUTH AFRICA,Anrich Nortje,4,0,17,2,1,1,4.20
CANADA vs PAKISTAN,PAKISTAN,Shaheen Afridi,4,0,21,1,0,1,5.20
CANADA vs PAKISTAN,PAKISTAN,Naseem Shah,4,0,24,1,0,1,6.00
CANADA vs PAKISTAN,PAKISTAN,Amir,4,0,13,2,0,0,3.20
CANADA vs PAKISTAN,PAKISTAN,Haris Rauf,4,0,26,2,0,7,6.50
CANADA vs PAKISTAN,PAKISTAN,Imad Wasim,4,0,19,0,0,1,4.80
CANADA vs PAKISTAN,CANADA,Kaleem Sana,3,0,21,0,0,5,7.00
CANADA vs PAKISTAN,CANADA,Jeremy Gordon,3.3,0,17,1,0,1,4.90
CANADA vs PAKISTAN,CANADA,Dillon Heyliger,4,0,18,2,0,1,4.50
CANADA vs PAKISTAN,CANADA,Saad Bin Zafar (c),4,0,23,0,0,1,5.80
