match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
UGANDA vs NEW ZEALAND,UGANDA,5,K Waiswa,b Lockie Ferguson,11,18,2,0,61.11
UGANDA vs NEW ZEALAND,UGANDA,6,Riazat Ali Shah,c Conway b Rachin Ravindra,2,13,0,0,15.38
UGANDA vs NEW ZEALAND,UGANDA,7,Dinesh Nakrani,c Glenn Phillips b Rachin Ravindra,4,13,0,0,30.77
UGANDA vs NEW ZEALAND,UGANDA,8,Masaba (c),not out,3,20,0,0,15.00
UGANDA vs NEW ZEALAND,UGANDA,9,Achelam (wk),lbw b Southee,9,13,1,0,69.23
UGANDA vs NEW ZEALAND,UGANDA,10,Juma Miyagi,lbw b Southee,0,1,0,0,0.00
UGANDA vs NEW ZEALAND,UGANDA,11,Cosmas Kyewuta,c Daryl Mitchell b Santner,1,6,0,0,16.67
UGANDA vs NEW ZEALAND,NEW ZEALAND,1,Finn Allen,c Achelam b Riazat Ali Shah,9,17,1,0,52.94
UGANDA vs NEW ZEALAND,NEW ZEALAND,2,Devon Conway (wk),not out,22,15,4,0,146.67
UGANDA vs NEW ZEALAND,NEW ZEALAND,3,Rachin Ravindra,not out,1,1,0,0,100.00
ENGLAND vs NAMIBIA,ENGLAND,1,Salt,c Zane Green b Wiese,11,8,2,0,137.50
ENGLAND vs NAMIBIA,ENGLAND,2,Jos Buttler (c & wk),b Trumpelmann,0,4,0,0,0.00
ENGLAND vs NAMIBIA,ENGLAND,3,Bairstow,c Zane Green b Bernard Scholtz,31,18,3,2,172.22
ENGLAND vs NAMIBIA,ENGLAND,4,Harry Brook,not out,47,20,4,2,235.00
ENGLAND vs NAMIBIA,ENGLAND,5,Moeen,c Niko Davin b Trumpelmann,16,6,0,2,266.67
ENGLAND vs NAMIBIA,ENGLAND,6,Livingstone,run out (Trumpelmann/Zane Green),13,4,0,2,325.00
ENGLAND vs NAMIBIA,NAMIBIA,1,Michael van Lingen,c Harry Brook b Chris Jordan,33,29,1,3,113.79
ENGLAND vs NAMIBIA,NAMIBIA,2,Nikolaas Davin,retd out,18,16,1,1,112.50
ENGLAND vs NAMIBIA,NAMIBIA,3,David Wiese,c Harry Brook b Jofra Archer,27,12,2,2,225.00
ENGLAND vs NAMIBIA,NAMIBIA,4,Gerhard Erasmus (c),not out,1,3,0,0,33.33
ENGLAND vs NAMIBIA,NAMIBIA,5,JJ Smit,not out,0,1,0,0,0.00
SCOTLAND vs AUSTRALIA,SCOTLAND,1,Munsey,c Nathan Ellis b Maxwell,35,23,2,3,152.17
SCOTLAND vs AUSTRALIA,SCOTLAND,2,Michael Jones,b Agar,2,3,0,0,66.67
SCOTLAND vs AUSTRALIA,SCOTLAND,3,Brandon McMullen,c Mitchell Starc b Zampa,60,34,2,6,176.47
SCOTLAND vs AUSTRALIA,SCOTLAND,4,Berrington (c),not out,42,31,1,2,135.48
