image,player_name,team,role,batting_style,bowling_style
https://static.cricbuzz.com/a/img/v1/i1/c350320/kushal-malla.jpg?d=low&p=gthumb,"Kushal Malla
Batting Allrounder",Nepal,Batting Allrounder,Left Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c155374/karan-kc.jpg?d=low&p=gthumb,"Karan KC
Bowling Allrounder",Nepal,Bowling Allrounder,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c155415/sompal-kami.jpg?d=low&p=gthumb,"Sompal Kami
Bowling Allrounder",Nepal,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/pratis-gc.jpg?d=low&p=gthumb,"Pratis GC
Bowling Allrounder",Nepal,Bowling Allrounder,Right Handed Bat,Left-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/kamal-singh-airee.jpg?d=low&p=gthumb,"Kamal Singh Airee
Bowling Allrounder",Nepal,Bowling Allrounder,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/aasif-sheikh.jpg?d=low&p=gthumb,"Aasif Sheikh
WK-Batsman",Nepal,WK-Batsman,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c155384/lalit-rajbanshi.jpg?d=low&p=gthumb,"Lalit Rajbanshi
Bowler",Nepal,Bowler,Right Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c182026/gulsan-jha.jpg?d=low&p=gthumb,"Gulsan Jha
Bowler",Nepal,Bowler,Left Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/abinash-bohara.jpg?d=low&p=gthumb,"Abinash Bohara
Bowler",Nepal,Bowler,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/sagar-dhakal.jpg?d=low&p=gthumb,"Sagar Dhakal
Bowler",Nepal,Bowler,Right Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c226314/sandeep-lamichhane.jpg?d=low&p=gthumb,"Sandeep Lamichhane
Bowler",Nepal,Bowler,Right Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c244832/rovman-powell.jpg?d=low&p=gthumb,Rovman Powell,West Indies,Batsman,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c171232/shimron-hetmyer.jpg?d=low&p=gthumb,"Shimron Hetmyer
Batsman",West Indies,Batsman,Left Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c244662/brandon-king.jpg?d=low&p=gthumb,"Brandon King
Batsman",West Indies,Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c594230/sherfane-rutherford.jpg?d=low&p=gthumb,"Sherfane Rutherford
Batting Allrounder",West Indies,Batting Allrounder,Left Handed Bat,Right-arm fast-medium
